"","V1","V2","V3","V4","V5","V6"
"1",0.0005592055,0.001924995,0.0005477015,0.7776645,0.5181845,0.0005472055
"2",0.00168502,0.005632405,0.00140915,0.8023005,0.454277,0.1048455
"3",0.00550987,0.002857745,0.05329115,0.609468,0.5944545,0.003606415
"4",0.000537924,0.09713875,0.000896837,0.7574805,0.4967945,0.002038285
"5",0.009001295,0.1814715,0.00191059,0.7570505,0.3202335,0.0592441
"6",0.00100515,0.27524,0.00316837,0.7018275,0.3436755,0.02949855
"7",0.0004458635,0.002709765,0.0003925285,0.859005,0.4256595,0.000432561
"8",0.000842177,0.07969355,0.002059175,0.7021085,0.3500865,0.1933495
"9",0.002713495,0.00245965,0.002511175,0.7845835,0.4297505,0.123465
"10",0.00167934,0.006243675,0.001140245,0.789249,0.494091,0.00744225
"11",0.0168873,0.01212055,0.03389645,0.6052025,0.459434,0.1604495
"12",0.000339719,0.00137461,0.000384387,0.8300935,0.4886105,0.000351038
"13",0.0008651325,0.1364165,0.002592025,0.6891155,0.5187325,0.00271988
"14",0.176294,0.00389139,0.0662227,0.7771785,0.3567055,0.00961021
"15",0.0007675425,0.06688305,0.000857591,0.674977,0.54111,0.0005314695
"16",0.0007603375,0.05708805,0.000738861,0.731617,0.495815,0.000985352
"17",0.0008759075,0.05977735,0.002343765,0.7145625,0.341041,0.207178
"18",0.001185835,0.01077555,0.0007842775,0.679819,0.5612905,0.00103716
"19",0.0005028435,0.100578,0.0005758115,0.7158935,0.479456,0.0007536865
"20",0.0311298,0.003274585,0.003258435,0.6246425,0.550768,0.0486783
"21",0.0005214165,0.00343068,0.000877136,0.810671,0.5009195,0.0008918385
"22",0.009191025,0.04266325,0.037676,0.607016,0.6116605,0.02917005
"23",0.000432858,0.00405691,0.000951935,0.814232,0.502341,0.001089275
"24",0.005883005,0.0826897,0.0276147,0.7398955,0.4825,0.00502779
"25",0.004813875,0.00701423,0.001932655,0.72846,0.5828355,0.002321285
"26",0.000741198,0.2670155,0.00158774,0.76361,0.3454725,0.000625307
"27",0.0809002,0.150178,0.00552833,0.4832125,0.5069885,0.0429107
"28",0.0524215,0.00257015,0.00162407,0.7427455,0.3664555,0.1377365
"29",0.0774676,0.01026685,0.001940475,0.7238845,0.4991965,0.00142971
"30",0.1435215,0.172549,0.0581998,0.623546,0.2812085,0.03457175
"31",0.0011648,0.02921445,0.03786055,0.63026,0.5767305,0.0280056
"32",0.0009321745,0.003200655,0.000840028,0.734725,0.5928295,0.0006104435
"33",0.002676165,0.1519725,0.001515765,0.780438,0.4204175,0.0007412455
"34",0.02048055,0.044807,0.001832305,0.5759465,0.6284485,0.00362589
"35",0.00049324,0.006174485,0.0006038245,0.767509,0.52256,0.000682768
"36",0.001299365,0.0266908,0.001648875,0.812848,0.449477,0.00190911
"37",0.000539103,0.1076525,0.0005565405,0.81474,0.4030535,0.0008440015
"38",0.1598995,0.00708991,0.00136712,0.649909,0.468368,0.000834071
"39",0.00230618,0.007477115,0.00141455,0.6834375,0.6095895,0.00143871
"40",0.01360785,0.1491345,0.002555765,0.713375,0.412388,0.00169104
"41",0.0587896,0.00316152,0.00165965,0.561604,0.617275,0.002301755
"42",0.0005330255,0.0380045,0.00056128,0.759915,0.508479,0.00101189
"43",0.0006443015,0.0024534,0.0007165335,0.834299,0.52431,0.0009241655
"44",0.000395226,0.00650074,0.000551128,0.8801095,0.464377,0.0006115245
"45",0.0005430745,0.00237381,0.0007112575,0.7485985,0.5413385,0.000921121
"46",0.0004769505,0.00441206,0.001102995,0.821706,0.463015,0.0016324
"47",0.001350785,0.006942295,0.00111136,0.8190325,0.483465,0.000606399
"48",0.000512201,0.002387575,0.0005201495,0.9122395,0.445921,0.0006028935
"49",0.11917,0.04019685,0.0061372,0.5683185,0.5674315,0.0124239
"50",0.23751,0.06577965,0.074593,0.645103,0.279641,0.0817913
"51",0.104318,0.0184623,0.0509134,0.689611,0.4658015,0.003772075
"52",0.000684219,0.00612917,0.000958542,0.8598745,0.486361,0.0009618815
"53",0.001022805,0.2027655,0.00219116,0.8169295,0.356133,0.0008035335
"54",0.00344595,0.1674985,0.1047325,0.614123,0.274611,0.204284
"55",0.0472866,0.2058,0.01318575,0.782807,0.3417655,0.002597075
"56",0.0004559305,0.001989725,0.000636301,0.8740335,0.452819,0.0007405025
"57",0.0008956275,0.07336765,0.000867304,0.6215355,0.6128255,0.00288053
"58",0.0619967,0.007109,0.006530315,0.4831235,0.6247115,0.1142715
"59",0.0005847985,0.1931545,0.0006361995,0.6580675,0.4645345,0.0007357405
"60",0.0009755105,0.118083,0.000622978,0.656161,0.50541,0.00059311
"61",0.03016075,0.1253665,0.01069905,0.7003085,0.3938435,0.0771837
"62",0.01873145,0.1739205,0.007202555,0.7874695,0.3720085,0.00143796
"63",0.00311005,0.051667,0.001020305,0.8337745,0.4315465,0.0008454855
"64",0.002304605,0.00628391,0.003023795,0.6868575,0.5666485,0.002587185
"65",0.03798715,0.1021315,0.00240733,0.753602,0.34553,0.133409
"66",0.023998,0.00784683,0.002132585,0.6381565,0.09031095,0.5766305
"67",0.0228591,0.01383565,0.002244195,0.717231,0.1190415,0.4967625
"68",0.000910421,0.002848975,0.0009473855,0.730722,0.589161,0.0006006825
"69",0.000700622,0.00333283,0.0009091905,0.830336,0.520718,0.001110825
"70",0.00068325,0.526354,0.00172622,0.558477,0.2021915,0.1126435
"71",0.008916125,0.2021305,0.0139415,0.7637345,0.3684385,0.0255188
"72",0.107704,0.2411215,0.0776407,0.5675925,0.156173,0.293048
"73",0.0004495025,0.004321685,0.0004876935,0.861515,0.459819,0.0005675575
"74",0.00103356,0.406944,0.004697915,0.623011,0.2949865,0.0252007
"75",0.0004846415,0.001832265,0.0004521365,0.766641,0.5334425,0.00045479
"76",0.002583335,0.1896505,0.07588475,0.767396,0.3201395,0.02264945
"77",0.002226455,0.347121,0.00323748,0.698328,0.2553955,0.02732425
"78",0.0005182075,0.001722475,0.000676858,0.8469305,0.503493,0.001064765
"79",0.00113698,0.07027905,0.002976255,0.7655575,0.343014,0.1429645
"80",0.001567025,0.3752225,0.005033905,0.6552785,0.270251,0.04961825
"81",0.00106262,0.1933765,0.001576915,0.735895,0.4018765,0.02252035
"82",0.00126359,0.14972,0.000964885,0.8459215,0.3208255,0.01555645
"83",0.002098095,0.316714,0.001696085,0.708798,0.3415055,0.00158464
"84",0.1024155,0.25816,0.01609275,0.722766,0.3138115,0.01013485
"85",0.0260405,0.2184355,0.01073295,0.7270355,0.287308,0.0547726
"86",0.00059691,0.09920325,0.001302915,0.837467,0.412116,0.004471535
"87",0.00054909,0.276074,0.000824323,0.716701,0.372411,0.002048105
"88",0.0606855,0.01481495,0.0105005,0.592782,0.57677,0.0168745
"89",0.00145413,0.3018485,0.003305115,0.7769585,0.267715,0.01351345
"90",0.001573795,0.177966,0.00220644,0.6195435,0.377656,0.1770395
"91",0.07783875,0.003542875,0.0439429,0.724085,0.454623,0.00205901
"92",0.0664596,0.13919,0.04150155,0.6511075,0.4112575,0.01247505
"93",0.00977892,0.00522845,0.0193641,0.776472,0.4666705,0.006228665
"94",0.1464455,0.134461,0.0770292,0.6226425,0.375987,0.00492725
"95",0.00179673,0.00834377,0.001391595,0.809216,0.495634,0.003472445
"96",0.0007351335,0.08352985,0.00109254,0.7394725,0.4696775,0.000694102
"97",0.01302245,0.0395305,0.0522419,0.728519,0.498127,0.01080105
"98",0.09464315,0.02205215,0.1009715,0.6431315,0.403098,0.05081125
"99",0.003567875,0.41489,0.140677,0.520775,0.2034625,0.1238585
"100",0.0007677565,0.325921,0.00153133,0.656869,0.342959,0.0397988
"101",0.0871024,0.2950975,0.0246429,0.616024,0.1617635,0.183119
"102",0.0009565375,0.00397616,0.00112489,0.7101385,0.566579,0.01183165
"103",0.0003672695,0.00319211,0.000523534,0.8168845,0.5075,0.0006626395
"104",0.00218424,0.425283,0.0183327,0.628424,0.254861,0.06576445
"105",0.00579724,0.102592,0.003639005,0.5776805,0.5860025,0.03917575
"106",0.001548975,0.123138,0.002305735,0.6076115,0.5562315,0.002662485
"107",0.0120628,0.1436555,0.004235475,0.581549,0.5370225,0.00651101
"108",0.003386345,0.129721,0.002734915,0.5752395,0.567525,0.002423165
"109",0.0628089,0.0230726,0.00207767,0.5495605,0.0695036,0.6531105
"110",0.001270885,0.0420344,0.00201301,0.6364055,0.583944,0.001713795
"111",0.00216453,0.03199245,0.00138278,0.6665835,0.5343405,0.09512335
"112",0.00131825,0.00395862,0.001449985,0.8294225,0.4855775,0.0008549105
"113",0.00497559,0.0436798,0.001875695,0.6520655,0.592774,0.0049518
"114",0.155974,0.00484739,0.0163506,0.551859,0.5416735,0.008290075
"115",0.05970935,0.006280625,0.003166355,0.5808315,0.6072285,0.01517975
"116",0.01508415,0.05321995,0.00339579,0.69889,0.5456155,0.003380075
"117",0.04925335,0.005943425,0.003136475,0.6616615,0.2427655,0.33873
"118",0.007604345,0.2453025,0.0647563,0.586188,0.278963,0.174817
"119",0.00301375,0.0259656,0.0113719,0.7807685,0.454854,0.003764665
"120",0.07544225,0.04576505,0.01387865,0.734158,0.4565755,0.007519285
"121",0.670572,0.00742967,0.0009525085,0.222712,0.3992835,0.00129583
