"","V1","V2","V3","V4","V5","V6"
"1",0.5981235,0.000661,0.495563,0.000488585,0.2358795,0.000391595
"2",0.34775,0.003097275,0.559126,0.03855665,0.4512655,0.0009472845
"3",0.722917,0.06045495,0.502498,0.0032041,0.0226195,0.003224315
"4",0.356336,0.001029195,0.670499,0.000876349,0.360336,0.000580584
"5",0.190669,0.00323878,0.5229765,0.0286398,0.583058,0.01010915
"6",0.05680715,0.08843125,0.6234495,0.00326765,0.592145,0.002474315
"7",0.498905,0.000476288,0.501486,0.000426458,0.3120295,0.000357689
"8",0.157608,0.0702157,0.523116,0.1085245,0.494316,0.001419615
"9",0.322833,0.00717029,0.4885745,0.05566765,0.4936215,0.00100291
"10",0.525315,0.00106005,0.513767,0.001086765,0.2948295,0.0008416095
"11",0.461254,0.0742874,0.4798095,0.124001,0.180166,0.01592875
"12",0.557931,0.000541597,0.498194,0.0003343845,0.289348,0.0003310515
"13",0.558808,0.0122327,0.655442,0.00132081,0.154415,0.0017352
"14",0.4781855,0.00458407,0.3773995,0.03233715,0.3916685,0.123845
"15",0.703369,0.000850018,0.567285,0.0005256495,0.0473392,0.000666459
"16",0.5684095,0.0008410455,0.5990025,0.000697791,0.1570265,0.0005855145
"17",0.1634365,0.0834138,0.499786,0.0969063,0.4985435,0.0013151
"18",0.67565,0.000859067,0.55326,0.000855287,0.0577001,0.000607497
"19",0.5072395,0.0007503265,0.6249015,0.0006047335,0.195932,0.000500047
"20",0.7433035,0.03539425,0.480851,0.01152325,0.03148855,0.001352755
"21",0.4333385,0.000773475,0.558896,0.0005966405,0.359804,0.0003521885
"22",0.564193,0.0869334,0.546365,0.0163245,0.1684075,0.002700415
"23",0.41982,0.0007743595,0.5655385,0.000566585,0.3653655,0.000357971
"24",0.5556425,0.0338395,0.4814025,0.00298188,0.281637,0.008871855
"25",0.5465875,0.00243074,0.526476,0.00178732,0.2886335,0.001430105
"26",0.2999195,0.00613444,0.582437,0.000696221,0.5043005,0.00949021
"27",0.5766135,0.06335935,0.555585,0.0112301,0.0200256,0.07828895
"28",0.494586,0.00273607,0.3958,0.1336375,0.267508,0.0201864
"29",0.62545,0.00305657,0.4247915,0.00288454,0.287167,0.005016325
"30",0.4255645,0.00541471,0.436426,0.004014315,0.2491855,0.1965345
"31",0.5274375,0.08460925,0.559354,0.00404537,0.167452,0.0009475815
"32",0.642553,0.0009929345,0.518626,0.0005974925,0.2050155,0.000484054
"33",0.463672,0.00167055,0.5387625,0.000890374,0.363292,0.0133566
"34",0.7679815,0.004282325,0.5492775,0.002807055,0.004328105,0.00214321
"35",0.5577225,0.0008278535,0.524276,0.000518663,0.2551495,0.0003241845
"36",0.4516405,0.00131953,0.4817085,0.000876251,0.381842,0.000648297
"37",0.3850665,0.000637175,0.605551,0.000712689,0.340458,0.000522127
"38",0.7189725,0.003544675,0.319232,0.001570085,0.2620305,0.00859217
"39",0.6584545,0.001890725,0.5611565,0.001407295,0.1203665,0.0009479405
"40",0.460344,0.00729714,0.4489915,0.001526625,0.3805205,0.0211802
"41",0.804856,0.00598138,0.469426,0.00330047,0.00757278,0.00139937
"42",0.53554,0.00071345,0.594383,0.000578843,0.214913,0.000462878
"43",0.4862445,0.0009324315,0.518832,0.0006504455,0.397156,0.000370056
"44",0.4511295,0.0006675795,0.5648495,0.000431689,0.356461,0.0003675555
"45",0.635214,0.0008701885,0.5391155,0.0006386165,0.1488475,0.000486536
"46",0.407428,0.00107226,0.5508885,0.0005845675,0.3530375,0.0005351255
"47",0.566419,0.0007450025,0.4577765,0.000529586,0.3162555,0.000516101
"48",0.50198,0.00056894,0.448109,0.000420913,0.4263605,0.0003294535
"49",0.6226975,0.05606395,0.4937825,0.03660445,0.1268285,0.0136958
"50",0.425391,0.004039395,0.3748645,0.0312627,0.305107,0.2356255
"51",0.589592,0.0521212,0.4169555,0.009795785,0.253884,0.0296098
"52",0.4095145,0.000944279,0.5296755,0.0006527935,0.444926,0.0004474215
"53",0.353596,0.004818625,0.517741,0.000786261,0.5304675,0.00334436
"54",0.2596375,0.1007165,0.5096615,0.156296,0.291699,0.08284145
"55",0.380081,0.005903975,0.4556415,0.001445135,0.500199,0.06647655
"56",0.5185055,0.00063006,0.509268,0.0005426715,0.334459,0.00040637
"57",0.5935875,0.002661045,0.62662,0.001455755,0.1274935,0.000912779
"58",0.6140285,0.08607315,0.4708165,0.12465,0.0633671,0.00147146
"59",0.467875,0.0015392,0.6471275,0.00070066,0.224563,0.00112171
"60",0.6121105,0.00119746,0.5836135,0.0006158945,0.117598,0.0011536
"61",0.419261,0.003430665,0.552404,0.01085585,0.2900025,0.08569945
"62",0.4210865,0.00460301,0.44569,0.00130355,0.4782885,0.03273255
"63",0.5900075,0.0008349045,0.4353245,0.0007843365,0.316815,0.0006898295
"64",0.5981885,0.00486617,0.519984,0.002650155,0.1830045,0.0009923345
"65",0.2175295,0.003428025,0.4850635,0.1207755,0.5648085,0.00287011
"66",0.006512355,0.00305032,0.2826485,0.5895235,0.4910575,0.002406845
"67",0.010271,0.002423065,0.3271025,0.500288,0.565958,0.00269021
"68",0.647834,0.00111553,0.5170325,0.000583138,0.2044625,0.0005294805
"69",0.4780205,0.00101436,0.516063,0.000780777,0.405841,0.0004512415
"70",0.00234364,0.02221105,0.7314495,0.07636075,0.4767105,0.09943545
"71",0.3905265,0.0261802,0.5009,0.00556815,0.434749,0.04733745
"72",0.01212485,0.089025,0.3854825,0.3936435,0.5391735,0.08260325
"73",0.4706915,0.0006411585,0.557998,0.000469067,0.320258,0.0003456575
"74",0.04877435,0.1489615,0.634661,0.005174465,0.528641,0.0189323
"75",0.619482,0.000600531,0.480537,0.000466212,0.233754,0.000347387
"76",0.164401,0.10481,0.5213035,0.0149885,0.582344,0.00666681
"77",0.04501755,0.06270575,0.5569415,0.009390555,0.639694,0.03676995
"78",0.448697,0.0007980115,0.522237,0.000661449,0.407338,0.0004162565
"79",0.190374,0.01373425,0.506634,0.0780132,0.5504635,0.001558755
"80",0.0135452,0.1238535,0.5991745,0.0117506,0.596138,0.02973795
"81",0.25183,0.0141964,0.6270845,0.00634116,0.473707,0.00191353
"82",0.2902355,0.0009418005,0.5727315,0.00199247,0.488125,0.001161915
"83",0.253046,0.00275276,0.6179995,0.001132525,0.470229,0.0541426
"84",0.3373545,0.00550044,0.465176,0.002989185,0.4749415,0.143429
"85",0.3225235,0.01150655,0.459028,0.00802475,0.445218,0.09178755
"86",0.2028795,0.001537585,0.612883,0.001058275,0.548128,0.000586973
"87",0.100658,0.002142005,0.701128,0.00102099,0.5779985,0.000743188
"88",0.596234,0.0111662,0.476775,0.05928885,0.176194,0.001881465
"89",0.09125295,0.01385795,0.5935745,0.009717925,0.650207,0.0224986
"90",0.211213,0.06838745,0.560982,0.178007,0.375772,0.0016693
"91",0.541144,0.05226075,0.4127085,0.0116064,0.2696345,0.02787845
"92",0.4899685,0.04490355,0.47814,0.00413962,0.263949,0.0789498
"93",0.637779,0.01426485,0.4470305,0.002329415,0.20772,0.002254245
"94",0.3651855,0.1557315,0.383313,0.007117345,0.412062,0.0687979
"95",0.533783,0.001250695,0.5464,0.001278655,0.266395,0.0008409835
"96",0.4873805,0.001763415,0.546749,0.000659431,0.273368,0.00097808
"97",0.589701,0.03973665,0.498115,0.004575215,0.2326,0.01965565
"98",0.4815375,0.1082755,0.386765,0.03455815,0.269989,0.0764324
"99",0.01150745,0.2359775,0.5254135,0.02053075,0.464771,0.171323
"100",0.173666,0.0971273,0.65404,0.02070395,0.4457145,0.004325825
"101",0.01970055,0.0777415,0.4108485,0.1586015,0.5893845,0.1163175
"102",0.5603235,0.001335045,0.5610045,0.001709755,0.211091,0.000455346
